Year,Indicator,Value
2000,GDP_per_capita,414.6263651
2000,Life_expectancy,56.084
2000,School_enrollment,94.2572403
2001,GDP_per_capita,410.7004525
2001,Life_expectancy,56.501
2001,School_enrollment,95.15091705
2002,GDP_per_capita,402.9363856
2002,Life_expectancy,56.759
2002,School_enrollment,89.24919128
2003,GDP_per_capita,442.8984573
2003,Life_expectancy,57.369
2003,School_enrollment,103.9038925
2004,GDP_per_capita,463.6627813
2004,Life_expectancy,57.947
2004,School_enrollment,103.7294312
2005,GDP_per_capita,523.4563124
2005,Poverty_rate,46.8
2005,Unemployment_rate,9.957
2005,Life_expectancy,58.51
2005,School_enrollment,103.6295624
2006,GDP_per_capita,699.8023706
2006,Life_expectancy,59.059
2006,School_enrollment,101.2019882
2007,GDP_per_capita,840.2014395
2007,Life_expectancy,59.407
2007,School_enrollment,107.5827103
2008,GDP_per_capita,915.5443547
2008,Life_expectancy,59.955
2008,School_enrollment,107.0764694
2009,GDP_per_capita,1047.967832
2009,Unemployment_rate,9.6
2009,Life_expectancy,60.483
2009,School_enrollment,107.9457397
2010,GDP_per_capita,1091.518731
2010,Life_expectancy,60.915
2011,GDP_per_capita,1096.144998
2011,Life_expectancy,61.283
2012,GDP_per_capita,1285.005362
2012,Life_expectancy,61.537
2012,School_enrollment,111.4222267
2013,GDP_per_capita,1370.878852
2013,Life_expectancy,61.729
2014,GDP_per_capita,1482.815663
2014,Life_expectancy,61.99
2014,School_enrollment,107.1412201
2015,GDP_per_capita,1489.119598
2015,Poverty_rate,36.1
2015,Life_expectancy,62.279
2015,School_enrollment,104.7800903
2016,GDP_per_capita,1554.126103
2016,Unemployment_rate,2.757
2016,Life_expectancy,62.526
2016,School_enrollment,104.1148529
2017,GDP_per_capita,1667.484472
2017,Life_expectancy,62.725
2017,School_enrollment,101.9578913
2018,GDP_per_capita,1836.452755
2018,Life_expectancy,62.825
2018,School_enrollment,99.77042021
2019,GDP_per_capita,1960.408089
2019,Unemployment_rate,5.014
2019,Life_expectancy,62.939
2019,School_enrollment,77.5132255
2020,GDP_per_capita,1927.66459
2020,Poverty_rate,42.9
2020,Life_expectancy,61.596
2020,School_enrollment,91.9542486
2021,GDP_per_capita,2061.356221
2021,Poverty_rate,38.6
2021,Unemployment_rate,5.585
2021,Life_expectancy,61.225
2021,School_enrollment,93.76690676
2022,GDP_per_capita,2109.562885
2022,Poverty_rate,39.8
2022,Unemployment_rate,5.441
2022,Life_expectancy,63.549
2022,School_enrollment,98.55196736
2023,GDP_per_capita,1942.588028
2023,Life_expectancy,63.646
2023,School_enrollment,98.24834758
2024,GDP_per_capita,2132.434521
2024,Life_expectancy,63.834